femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
FM-5472-WA,5472,WA,FM,2023-07-30T00:00:00.000Z,2023,Fire,EAGLE BLUFF FIRE,0,0,1,1,2023-07-29T00:00:00.000Z,,,0,53,047,99047,Okanogan (County),23080,,2023073001,10,R,2024-08-27T18:22:14.800Z,4b8147495c2a118797d18b69ef4f2f2b07d1eadb,b4218334-de0b-416d-80c1-cb756efd7f18
FM-5470-WA,5470,WA,FM,2023-07-23T00:00:00.000Z,2023,Fire,NEWELL ROAD FIRE,0,0,1,1,2023-07-21T00:00:00.000Z,,,0,53,039,99039,Klickitat (County),23074,,2023072301,10,R,2024-08-27T18:22:14.800Z,29c8700c5d87ae3209b91b3ce92c7487273d6c0a,8f875c85-4163-4fdb-8653-b9214676af41
FM-5469-WA,5469,WA,FM,2023-07-11T00:00:00.000Z,2023,Fire,BAIRD SPRINGS FIRE ,0,0,1,1,2023-07-10T00:00:00.000Z,,,0,53,025,99025,Grant (County),23071,,2023071101,10,R,2024-08-27T18:22:14.800Z,87c023fadb47757f65a024f9cbbb81da8f94fd0e,05824101-6a30-42ff-96e5-1fc526312b8d
FM-5468-WA,5468,WA,FM,2023-07-05T00:00:00.000Z,2023,Fire,MCEWAN FIRE ,0,0,1,1,2023-07-04T00:00:00.000Z,,,0,53,045,99045,Mason (County),23065,,2023070501,10,R,2024-08-27T18:22:14.800Z,dabc055801e32a409fc4b09416e0300197e6be98,83368755-fffb-4dd9-9f7f-1131d91df50e
FM-5467-WA,5467,WA,FM,2023-07-03T00:00:00.000Z,2023,Fire,TUNNEL FIVE FIRE,0,0,1,1,2023-07-02T00:00:00.000Z,,,0,53,059,99059,Skamania (County),23064,,2023070301,10,R,2024-08-27T18:22:14.800Z,5359f2c2bc2af43919688d146962f1b711c6feb0,5545e21f-a20a-4ba2-bf64-b4df31be40ba
FM-5466-AZ,5466,AZ,FM,2023-06-28T00:00:00.000Z,2023,Fire,DIAMOND FIRE,0,0,1,1,2023-06-27T00:00:00.000Z,2023-06-30T00:00:00.000Z,,0,04,013,99013,Maricopa (County),23061,,2023062801,9,R,2024-08-27T18:22:14.800Z,569c45af2a5860e916e6ffccd8d35193b2b2baf0,b5328c20-d1f9-43f5-bab0-143549a4bc28
FM-5465-NM,5465,NM,FM,2023-05-10T00:00:00.000Z,2023,Fire,LAS TUSAS FIRE,0,0,1,1,2023-05-10T00:00:00.000Z,2023-05-22T00:00:00.000Z,,0,35,033,99033,Mora (County),23050,,2023051101,6,R,2024-08-27T18:22:14.800Z,e9a4127a410c3b351c87850fdfd3206836f57769,438bcce7-2aae-4972-b345-0502f879f1a2
FM-5465-NM,5465,NM,FM,2023-05-10T00:00:00.000Z,2023,Fire,LAS TUSAS FIRE,0,0,1,1,2023-05-10T00:00:00.000Z,2023-05-22T00:00:00.000Z,,0,35,047,99047,San Miguel (County),23050,,2023051101,6,R,2024-08-27T18:22:14.800Z,14f3c308594a2221235e7d752eda18f08621904b,915949c5-f82e-4c08-a134-3593f4fa054d
FM-5464-RI,5464,RI,FM,2023-04-14T00:00:00.000Z,2023,Fire,QUEENS RIVER FIRE,0,0,1,1,2023-04-14T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,44,009,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023041701,1,R,2024-08-27T18:22:14.800Z,2a848a549c242f2af58ae1e97ee6c557e6daa584,52cd2a2d-1d6f-48d1-aa2a-318ec1ad430d
FM-5463-KS,5463,KS,FM,2023-04-13T00:00:00.000Z,2023,Fire,HADDAM FIRE,0,0,1,1,2023-04-13T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,20,201,99201,Washington (County),23038,,2023041301,7,R,2024-08-27T18:22:14.800Z,82d37a6e7385393432201b9aa3e5b55f5fbab7aa,008cd109-cd19-4a8a-9584-9d290fd4a2e0
FM-5462-NE,5462,NE,FM,2023-04-09T00:00:00.000Z,2023,Fire,WACONDA-BEAVER LAKE FIRE COMPLEX,0,0,1,1,2023-04-08T00:00:00.000Z,2023-04-11T00:00:00.000Z,,0,31,025,99025,Cass (County),23036,,2023041001,7,R,2024-08-27T18:22:14.800Z,c33619b95a7ea9e0aa453e8a9316491ef8706396,b27ac4ee-9573-48ac-86f1-fbc7599a3765
FM-5461-NM,5461,NM,FM,2023-04-02T00:00:00.000Z,2023,Fire,"ECHO RIDGE FIRE, NM FMAG",0,0,1,1,2023-04-02T00:00:00.000Z,2023-04-07T00:00:00.000Z,,0,35,057,99057,Torrance (County),23034,,2023040304,6,R,2024-08-27T18:22:14.800Z,303b6b0ff93a50745509e5130808cac5b8093f04,1187150d-158e-4ddf-9ea4-2882898b2e82
FM-5460-OK,5460,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-06T00:00:00.000Z,,0,40,147,99147,Washington (County),23032,,2023040302,6,"R,Z",2024-08-27T18:22:14.800Z,497584f97e0e7dde1d8c527d5eacf8ee695387d9,1360b560-055e-4fb4-8c19-eabb6c157b00
FM-5459-OK,5459,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-03T00:00:00.000Z,,0,40,109,99109,Oklahoma (County),23033,,2023040303,6,R,2024-08-27T18:22:14.800Z,d3257c8b616730fd590d47e7e3e4368e56e19d00,3c9c1631-c195-4796-911e-bff906574df5
FM-5458-OK,5458,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-06T00:00:00.000Z,,0,40,083,99083,Logan (County),23031,,2023040301,6,"R,Z",2024-08-27T18:22:14.800Z,261a3098d437b032fc9fa87e5a94175abd8e669c,7b5c3967-4bbf-4d22-a201-db6b4f77a19a
FM-5457-OR,5457,OR,FM,2023-01-27T00:00:00.000Z,2023,Fire,CEDAR CREEK FIRE,0,0,1,1,2022-09-09T00:00:00.000Z,2022-09-16T00:00:00.000Z,,0,41,039,99039,Lane (County),23009,,2023012701,10,R,2024-08-27T18:22:14.800Z,db81531ad3755f06b80808c968e9a97c06ca9d49,943216bf-6e13-4c46-bcb1-409b58e3ad68
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-16T00:00:00.000Z,2022-10-22T00:00:00.000Z,,0,53,011,99011,Clark (County),22097,,2022101701,10,,2024-08-27T18:22:14.800Z,f7a2b55bd71a46adff580dcd5808d2c46cde5e37,d7d1979f-dd00-4491-b296-c516989957d1
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-16T00:00:00.000Z,2022-10-22T00:00:00.000Z,,0,53,059,99059,Skamania (County),22097,,2022101701,10,,2024-08-27T18:22:14.800Z,a75bc8ac9c95e0d9b552ff2bfc1d7ba3d8d3a113,4b793309-fd2f-410d-a0dc-e02e261489e1
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-10-24T00:00:00.000Z,,0,53,033,99033,King (County),22083,,2022091102,10,,2024-08-27T18:22:14.800Z,06f5319684589388b0cff65409a36745870744bb,3de7f153-7d4d-410a-8cfa-8ed3b72ddfbd
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-10-24T00:00:00.000Z,,0,53,061,99061,Snohomish (County),22083,,2022091102,10,,2024-08-27T18:22:14.800Z,1c0ae8af0c7cd40f21d3d2cc21d86fbd1ec83f7e,e40e9429-e7d7-4379-b938-b434c2a2dd0d
FM-5454-OR,5454,OR,FM,2022-09-10T00:00:00.000Z,2022,Fire,MILO MCIVER FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-09-12T00:00:00.000Z,,0,41,005,99005,Clackamas (County),22082,,2022091101,10,,2024-08-27T18:22:14.800Z,cba9d0ea15224c828025907694d74ff21b280a93,6be62111-3488-4f17-aad4-8f8e7ab32157
FM-5453-CA,5453,CA,FM,2022-09-09T00:00:00.000Z,2022,Fire,MOSQUITO FIRE,0,0,1,1,2022-09-09T00:00:00.000Z,2022-09-26T00:00:00.000Z,,0,06,017,99017,El Dorado (County),22079,,2022090901,9,,2024-08-27T18:22:14.800Z,55db606dae79f4072c421755a78bda12428cbf25,9117630b-446c-4e02-8ac3-f2bb6c018390
FM-5453-CA,5453,CA,FM,2022-09-09T00:00:00.000Z,2022,Fire,MOSQUITO FIRE,0,0,1,1,2022-09-09T00:00:00.000Z,2022-09-26T00:00:00.000Z,,0,06,061,99061,Placer (County),22079,,2022090901,9,,2024-08-27T18:22:14.800Z,81d036bce7917927781797396df9eba2e0657443,0b6538ab-4422-42a5-8869-4b38a3809fc6
FM-5452-ID,5452,ID,FM,2022-09-05T00:00:00.000Z,2022,Fire,ROSS FORK FIRE,0,0,1,1,2022-09-05T00:00:00.000Z,2022-09-16T00:00:00.000Z,,0,16,013,99013,Blaine (County),22078,,2022090701,10,,2024-08-27T18:22:14.800Z,464187b12b6c54b510d5a4fb00f7427840278da5,cf4c8715-243e-4eae-a841-8f860d5b2771
FM-5451-CA,5451,CA,FM,2022-09-06T00:00:00.000Z,2022,Fire,FAIRVIEW FIRE,0,0,1,1,2022-09-05T00:00:00.000Z,2022-09-14T00:00:00.000Z,,0,06,065,99065,Riverside (County),22077,,2022090601,9,,2024-08-27T18:22:14.800Z,5de7747404e6a293c8d28f3a39a92d9ab5d3b295,9ab70819-db7b-4797-b340-aca3bd45080a
FM-5450-CA,5450,CA,FM,2022-09-02T00:00:00.000Z,2022,Fire,MILL FIRE,0,0,1,1,2022-09-02T00:00:00.000Z,2022-09-09T00:00:00.000Z,,0,06,093,99093,Siskiyou (County),22076,,2022090301,9,,2024-08-27T18:22:14.800Z,248d2a9a05fc39a29eb1df18f0cb522a11f4baaa,a23c8da2-67b3-4aa3-93f4-6121dbb3ea06
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,2022-08-18T00:00:00.000Z,,0,16,003,99003,Adams (County),22072,,2022081901,10,,2024-08-27T18:22:14.800Z,4e3d5455b487c4a5e4e0799c6d91936194c97c57,bdf6adbf-005b-49a6-9557-3c77e480cf38
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,2022-08-18T00:00:00.000Z,,0,16,045,99045,Gem (County),22072,,2022081901,10,,2024-08-27T18:22:14.800Z,663200d2c46abf7a1fb19fadb8eb1cf7b22b203e,71f4ae24-9493-4999-a08e-2aad6b317caf
FM-5449-ID,5449,ID,FM,2022-08-19T00:00:00.000Z,2022,Fire,FOUR CORNERS FIRE,0,0,1,1,2022-08-18T00:00:00.000Z,2022-08-18T00:00:00.000Z,,0,16,085,99085,Valley (County),22072,,2022081901,10,,2024-08-27T18:22:14.800Z,b0f553f6b6c592bbd99d164e9ffadd41573b1f69,55a24065-0c52-4fb6-9357-c310fc9f34a1
FM-5448-NV,5448,NV,FM,2022-08-14T00:00:00.000Z,2022,Fire,JOY LAKE FIRE,0,0,1,1,2022-08-14T00:00:00.000Z,2022-08-15T00:00:00.000Z,,0,32,031,99031,Washoe (County),22070,,2022081501,9,,2024-08-27T18:22:14.800Z,1392812f74bcaea4c6bc7d1c39ac96b651db251d,aee1bc6f-5c60-4c96-b0d6-c456091207b3
FM-5447-WA,5447,WA,FM,2022-08-04T00:00:00.000Z,2022,Fire,LIND FIRE,0,0,1,1,2022-08-04T00:00:00.000Z,2022-08-05T00:00:00.000Z,,0,53,001,99001,Adams (County),22068,,2022080501,10,,2024-08-27T18:22:14.800Z,2282bd8d71330aaf04b955aa89a02bb991fff766,c0530918-fd92-4afa-836a-2dc2be5b645b
FM-5446-OR,5446,OR,FM,2022-08-03T00:00:00.000Z,2022,Fire,MILLER ROAD FIRE,0,0,1,1,2022-08-02T00:00:00.000Z,2022-08-07T00:00:00.000Z,,0,41,065,99065,Wasco (County),22066,,2022080301,10,,2024-08-27T18:22:14.800Z,f74fd1cdbc2764875f53a4bafdbc76642229091b,42ce93d1-38e4-441e-ab7e-1f473e91b26a
FM-5445-CA,5445,CA,FM,2022-07-23T00:00:00.000Z,2022,Fire,OAK FIRE,0,0,1,1,2022-07-22T00:00:00.000Z,2022-08-03T00:00:00.000Z,,0,06,043,99043,Mariposa (County),22064,,2022072301,9,,2024-08-27T18:22:14.800Z,58da2117590e6fa4555cb07894c65e8332efea39,83e6a530-3ace-4b77-a61a-2695cc53dccb
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,0,0,1,1,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,,0,48,221,99221,Hood (County),22060,,2022072001,6,,2024-08-27T18:22:14.800Z,dff74703071e628092fcfc7a96297e2825df2ba3,b6907461-c7e6-423a-aab3-11226b77f009
FM-5444-TX,5444,TX,FM,2022-07-19T00:00:00.000Z,2022,Fire,CHALK MOUNTAIN FIRE,0,0,1,1,2022-07-18T00:00:00.000Z,2022-08-06T00:00:00.000Z,,0,48,425,99425,Somervell (County),22060,,2022072001,6,,2024-08-27T18:22:14.800Z,bd7968962f75b00b205a1c632f218175a22784ad,a1115d31-9dd6-47ac-897c-4aa6fedd37b9
FM-5443-TX,5443,TX,FM,2022-07-07T00:00:00.000Z,2022,Fire,HARD CASTLE FIRE,0,0,1,1,2022-07-07T00:00:00.000Z,2022-07-16T00:00:00.000Z,,0,48,035,99035,Bosque (County),22054,,2022070801,6,,2024-08-27T18:22:14.800Z,6ede64314bb4c0aec816390bb466a76ceafae9e6,f7fef2e6-7541-452d-bfc3-1bfa9b140577
FM-5442-AK,5442,AK,FM,2022-06-26T00:00:00.000Z,2022,Fire,CLEAR FIRE,0,0,1,1,2022-06-21T00:00:00.000Z,2022-08-12T00:00:00.000Z,,0,02,068,99068,Denali (Borough),22052,,2022062601,10,,2024-08-27T18:22:14.800Z,896bcb9a41b865ab00e399c306b8a7c0bc5bd301,22dcc273-b532-47cc-a85e-63b24027f8bc
FM-5442-AK,5442,AK,FM,2022-06-26T00:00:00.000Z,2022,Fire,CLEAR FIRE,0,0,1,1,2022-06-21T00:00:00.000Z,2022-08-12T00:00:00.000Z,,0,02,290,99290,Yukon-Koyukuk (Census Area),22052,,2022062601,10,,2024-08-27T18:22:14.800Z,a638efb1f3cf5696386fcf3c9d026a60aa46afdc,68771482-71b4-49eb-b53b-bb9770a45e96
FM-5441-AZ,5441,AZ,FM,2022-06-12T00:00:00.000Z,2022,Fire,PIPELINE FIRE,0,0,1,1,2022-06-12T00:00:00.000Z,2022-06-24T00:00:00.000Z,,0,04,005,99005,Coconino (County),22047,,2022061301,9,,2024-08-27T18:22:14.800Z,89b0409b69a1cd40e6a2b1587c8e12fded2810ea,fd9b3012-653c-4c5e-a7da-8b1a7d936ece
FM-5440-TX,5440,TX,FM,2022-05-18T00:00:00.000Z,2022,Fire,MESQUITE HEAT FIRE,0,0,1,1,2022-05-18T00:00:00.000Z,2022-05-29T00:00:00.000Z,,0,48,441,99441,Taylor (County),22043,,2022051901,6,,2024-08-27T18:22:14.800Z,88d09a00744299518d81d108040b27271f1cffb8,f6bf5748-aeed-4293-a447-2b3ecbb3847b
FM-5439-CA,5439,CA,FM,2022-05-12T00:00:00.000Z,2022,Fire,COASTAL FIRE,0,0,1,1,2022-05-11T00:00:00.000Z,2022-05-16T00:00:00.000Z,,0,06,059,99059,Orange (County),22042,,2022051201,9,,2024-08-27T18:22:14.800Z,16e9239ffe3916f54f8e770feb0c2d9c4490ab84,d66cbb54-fec6-4bb6-b505-2d81d3bc0de4
FM-5438-NM,5438,NM,FM,2022-04-30T00:00:00.000Z,2022,Fire,CALF CANYON FIRE,0,0,1,1,2022-04-20T00:00:00.000Z,2022-07-23T00:00:00.000Z,2024-06-25T00:00:00.000Z,0,35,047,99047,San Miguel (County),22038,,2022050101,6,,2024-08-27T18:22:14.800Z,31e5df16c70a1b6c2f10ac4376dd0542d576081b,3416e665-d864-4383-a9d3-78522b3a8f77
FM-5437-NM,5437,NM,FM,2022-04-28T00:00:00.000Z,2022,Fire,COOK'S PEAK FIRE,0,0,1,1,2022-04-28T00:00:00.000Z,2022-07-23T00:00:00.000Z,2024-06-25T00:00:00.000Z,0,35,007,99007,Colfax (County),22036,,2022042901,6,,2024-08-27T18:22:14.800Z,2ad39dcbd61bdcf7680c4e615f9befb05635aa02,3f7a1ff3-89d0-4fb8-8bd9-81e7e90f033f
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,2022-04-30T00:00:00.000Z,,0,31,063,99063,Frontier (County),22034,,2022042301,7,,2024-08-27T18:22:14.800Z,a3e64b1a8d26bd00179f25a71f8614b571cbe935,34f0602b-fe78-4b56-9aae-7325c95c13cb
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,2022-04-30T00:00:00.000Z,,0,31,065,99065,Furnas (County),22034,,2022042301,7,,2024-08-27T18:22:14.800Z,9d6550225e70a23bc288199daf6843821bbc3ea4,5e75066b-6008-47d7-b084-ea373bc21152
FM-5436-NE,5436,NE,FM,2022-04-23T00:00:00.000Z,2022,Fire,ROAD 702 FIRE,0,0,1,1,2022-04-22T00:00:00.000Z,2022-04-30T00:00:00.000Z,,0,31,145,99145,Red Willow (County),22034,,2022042301,7,,2024-08-27T18:22:14.800Z,bc41d14b611df9dd1553687f11a49d82de7cc5c2,c22ed966-b931-469f-acc3-0cfc2d1cec05
FM-5435-AZ,5435,AZ,FM,2022-04-19T00:00:00.000Z,2022,Fire,CROOKS FIRE,0,0,1,1,2022-04-18T00:00:00.000Z,2022-05-02T00:00:00.000Z,,0,04,025,99025,Yavapai (County),22032,,2022042001,9,,2024-08-27T18:22:14.800Z,48b2bd77b5e312957341f5cc540befd45a42da69,c081a55d-466a-4967-8eff-b8c42c44fa1c
FM-5434-AZ,5434,AZ,FM,2022-04-19T00:00:00.000Z,2022,Fire, TUNNEL 2 FIRE,0,0,1,1,2022-04-19T00:00:00.000Z,2022-04-28T00:00:00.000Z,,0,04,005,99005,Coconino (County),22033,,2022041901,9,,2024-08-27T18:22:14.800Z,e62bf275fd2b76d27bd882c9bcea1925251d4e2a,7d77586f-c5c4-4576-8b51-e578b8a78851
FM-5433-NM,5433,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,NOGAL CANYON FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,2022-07-23T00:00:00.000Z,2024-06-25T00:00:00.000Z,0,35,027,99027,Lincoln (County),22030,,2022041303,6,,2024-08-27T18:22:14.800Z,af25b1b044a4617aa64b8f1a8df4f154ebfd5476,c74850b9-3871-412b-bddb-594b2b5c8941
FM-5432-NM,5432,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,MCBRIDE FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,2022-07-23T00:00:00.000Z,2024-06-25T00:00:00.000Z,0,35,027,99027,Lincoln (County),22029,,2022041302,6,,2024-08-27T18:22:14.800Z,1c047336f6d2990267f1410238df684dcc19937e,1a4c1dbd-9a6e-4c7d-90a2-3e117cec3621
FM-5431-NM,5431,NM,FM,2022-04-12T00:00:00.000Z,2022,Fire,HERMIT'S PEAK FIRE,0,0,1,1,2022-04-12T00:00:00.000Z,2022-07-23T00:00:00.000Z,2024-06-20T00:00:00.000Z,0,35,047,99047,San Miguel (County),22028,,2022041301,6,,2024-08-27T18:22:14.800Z,9885d113ffe52e5784152ee3e60547aa06cbb2d9,28730599-e677-449d-a574-85a17bf18e00
